字词索引,参见,词条,繁体异体,拼音,部首,笔画,结构,字级,释义
几,,几㈣,[幾],qǐ,几,2,独体,一级字,通“岂”。《荀子·大略》：“～为知计哉?”//【注意】//在古代，“幾”和“几”是两个字，意义各不相同。上述义项都不写作“几”。现“幾”简化为“几”。参见174页“几1”字。//【辨析】//幾，机。“幾”的本义是微，“机”的本义是机械。“幾”除了❶❷义项后来也写作“机”以外，其他意义都不写作“机”。“机械”的意义也不写作“幾”。
鬐,,鬐,,qí,髟,20,上下,,❶马鬃，马颈上的长毛。《尉缭子·制谈》：“彼驽马～兴角逐，何能绍吾气哉？”//〖泛〗动物颈背的长毛。李公佐《古岳渎经》：“状有如猿，白首长～。”//❷通“鳍”。鱼类的背鳍。《庄子·外物》：“已而大鱼食之……骛扬而奋～，白波若山，海水震荡。”
乞,,乞㈠,,qǐ,乛,3,上下,一级字,❶求，讨。《左传·隐公四年》：“宋公使来～师。”（师：军队。）//〖特〗讨饭。《韩非子·难言》：“伯里子道～。”//❷索取。《陈书·宗元饶传》：“遣使就渚敛鱼，又于六郡～米。”
乞,,乞㈡,,qì,乛,3,上下,一级字,给。《汉书·朱买臣传》：“妻自经死，买臣～其夫钱，令葬。”李白《少年行》：“好鞍好马～与人。”
亓,,亓,,qí,一,4,上下,二级字,❶“其”的古字。//❷代词。那个。《墨子·公孟》：“～父死，～长子嗜酒而不葬。”//❸语气词。表示期望。《墨子·备梯》：“身死国亡，为天下笑，子～慎之。”见320页“其”字。
气,,气,[氣、炁],qì,气,4,独体,一级字,❶气，气体。《吕氏春秋·观表》：“天为高矣，而日月星辰云～雨露未尝休矣。”《木兰诗》：“朔～传金柝（tuò）。”（柝：古代打更用的器具。）//〖特〗气息。《论语·乡党》：“摄齐升堂，鞠躬如也，屏～似不息者。”（屏气：抑制呼吸。）//❷自然界冷热阴阳等现象。《左传·昭公元年》：“天有六～。”（六气：指阴、阳、风、雨、晦、明。）//[气候]//古代以五日为一候，三候为一气，六气为一时，四时为一年。//天气。江淹《谢临川游山》诗：“南中～～暖。”//❸气味。曹植《洛神赋》：“～若幽兰。”//❹景象，气氛。王羲之《兰亭序》：“天朗～清，惠风和畅。”//❺人的精神状态。指勇气、怒气等。《商君书·算地》：“勇士资在于～。”《战国策·赵策四》：“太后盛～而揖之。”（揖：应作“胥”，等待。）//❻古代哲学概念。指构成宇宙万物的物质性的东西。《荀子·王制》：“水火有～而无生。”（生：生命。）//❼古代哲学概念。人的主观精神。《孟子·公孙丑上》：“我善养吾浩然之～。”//❽古代文论术语。指作家的气质和反映在作品中的气势。曹丕《典论·论文》：“文以～为主，～之清浊有体。”//❾中医指元气、脉气或病象。《荀子·修身》：“以治～养生。”《素问·调经论》：“～有余则写其经隧。”《敦煌曲子词·定风波》：“情怯，有风有～有食结。”
讫,,讫,[訖],qì,讠,5,左右,二级字,❶终了，完毕。《尚书·吕刑》：“典狱，非～于威。”贾思勰《齐民要术·大豆》：“刈（yì）～则速耕。”（刈：收割。）//❷毕竟，终究。《汉书·王莽传中》：“莽以钱币～不行，复下书。”//❸通“迄”。至，到。《汉书·成帝纪》：“～今不改。”
企,,企,,qǐ,人,6,上下,一级字,❶踮起脚后跟。《老子·二十四章》：“～者不立，跨者不行。”《汉书·高帝纪上》：“日夜～而望归。”//〖引〗站立，耸立。何晏《景福殿赋》：“鸟～山峙。”谢灵运《从斤竹涧越岭溪行》诗：“～石挹飞泉，攀林摘叶卷。”//❷仰望，盼望。《北史·阳休之传》：“乡曲人士，莫不～羡焉。”（乡曲：穷乡僻壤。）潘岳《射雉赋》：“甘疲心于～想。”（甘：情愿。疲心：使心疲倦。）//❸企及，赶上。《新唐书·王勃传》：“勃文章宏放，非常人所及，炯、照邻可以～之。”（炯、照邻：人名。）
吃,,吃㈡,,qī,口,6,左右,一级字,[吃吃]//笑声。蒲松龄《聊斋志异·婴宁》：“但闻室中～～，皆婴宁笑声。”//【注意】//“吃”在古代一般不当“吃东西”讲。“吃东西”的意义古代写作“喫”。
屺,,屺,,qǐ,山,6,左右,二级字,❶不长草木的山。《诗经·魏风·陟岵》：“陟彼～兮，瞻望母兮。”//❷[屺岵（hù）]//指代父母。颜惟贞《萧思亮墓志》：“未极庭闱之养，遂缠～～之悲。”
岂,,岂㈡,[豈],qǐ,山,6,上下,一级字,❶副词。表示反问。可以翻译为“难道”、“怎么”。《庄子·盗跖》：“子之道～足贵邪？”//❷副词。表示疑问。可以翻译为“是否”。《三国志·蜀书·诸葛亮传》：“将军～愿见之乎？”
汔,,汔,,qì,氵,6,左右,二级字,❶水干涸。《说文·水部》：“汔，水涸也。”//❷尽，完成。岳珂《桯史》卷五：“君第～事，何庸知我。”//❸庶几，差不多。《诗经·大雅·民劳》：“民亦劳止，～可小康。”//❹至，到。《新唐书·田承嗣传》：“两军相持，自秋～冬。”
祁,,祁,,qí,礻,6,左右,二级字,❶盛，大。《尚书·君牙》：“冬～寒，小民亦惟曰怨咨。”//❷[祁祁]//众多的样子。《诗经·豳风·七月》：“春日迟迟，采蘩～～。”//舒缓和顺的样子。班固《灵台诗》：“习习祥风，～～甘雨。”
芑,,芑,,qǐ,艹,6,上下,二级字,❶一种粟。《诗经·大雅·生民》：“诞降嘉种……维穈维～。”//❷苦菜。《诗经·小雅·采芑》：“薄言采～，于彼新田。”//❸通“杞”。树名。《山海经·东山经》：“（余峨之山）其上多梓柟，其下多荆～。”
迄,,迄,,qì,辶,6,半包围,一级字,❶至，到。《诗经·大雅·生民》：“后稷肇祀，庶无罪悔，以～于今。”//❷毕竟，终究。《后汉书·孔融传》：“才疏意广，～无成功。”（才疏意广：志大才疏。）
齐,,齐㈢,[齊],qí,齐,6,上下,一级字,❶整齐，一致。《孟子·滕文公上》：“夫物之不～，物之情也。”《孙子兵法·九地》：“兵合而不～。”//〖又〗一同，一齐。刘禹锡《插田歌》：“～唱田中歌。”//〖引〗相同，同等。屈原《九歌·云中君》：“与日月兮～光。”《盐铁论·地广》：“安危劳佚不～，独不当调邪？”//❷齐备，齐全。《荀子·王霸》：“无它故焉，四者～也。”韩翃《送客之潞府》诗：“佳期别在春山里，应是人参五叶～。”//〖又〗整治，整理。《礼记·大学》：“欲治其国者，先～其家，欲～其家者，先修其身。”杜甫《西郊》诗：“傍架～书帙，看题检药囊。”//❸敏捷。《商君书·弱民》：“～疾而均，速若飘风。”（疾：快。均：整齐。）//❹肚脐。《左传·庄公六年》：“后君噬～。”（噬：咬。）这个意义后来写作“脐（臍）”。//❺周代诸侯国。战国时为七雄之一。在今山东北部一带。//❻朝代名。//公元550—577年，北朝之一，又称北齐，第一代君主是高洋。
启,,启,[啓、啟],qǐ,户,7,半包围,一级字,❶开门，打开。《左传·襄公二十五年》：“门～而入。”//〖引〗开发，开拓。《韩非子·有度》：“齐桓公并国三十，～地三千里。”//〖又〗古代称立春、立夏为“启”。《左传·僖公五年》：“凡分、至、～、闭，必书云物。”（分：春分、秋分。至：夏至、冬至。闭：立秋、立冬。）//❷开通。《梁书·文帝纪》：“凿河津于孟门，百川复～。”//〖引〗启发。《左传·昭公二十七年》：“～叔孙氏之心。”双音词有“启迪”。//〖又〗引发，招致。《左传·文公七年》：“今臣作乱，而君不禁，以～寇仇。”//❸[启处]//指安居。“启”指古人伸直腰股坐，也叫跪、长跪；“处”指两膝着地，臀部靠着脚跟坐。《诗经·小雅·采薇》：“不遑～～。”（不遑：没有空闲。）//❹萌芽，开始。《荀子·天论》：“繁～蕃长于春夏。”《三国志·魏书·武帝纪》：“首～戎行。”（戎行：军队。）双音词有“启程”。//❺禀告，陈述。《商君书·开塞》：“非明主莫有能听也，今日愿～之以效。”《三国志·蜀书·董和传》：“来相～告。”王安石《答司马谏议书》：“某～：昨日蒙教。”（某：作者自称。蒙教：承蒙指教。）双音词有“启事”。//❻指奏疏、公文、书函等文体。刘勰《文心雕龙·奏启》：“至魏国笺记，始云～闻。”沈作喆《寓简》卷八：“秦熺状元及第，汪彦章以～贺会之。”（秦熺、汪彦章、会之：都是人名。）
圻,,圻㈠,,qí,土,7,左右,二级字,❶京畿。天子都城周围千里之地。《左传·襄公二十五年》：“且昔天子之地一～。”//〖引〗地方千里为圻。《左传·昭公二十三年》：“若敖蚡冒，至于武文，土不过同，慎其四竟，犹不城郢。今土数～，而郢是城，不亦难乎？”（若敖、蚡冒：都是楚的先祖。同：地方百里为同。）//❷岸。《论衡·死伪》：“栾水击滑山之尾，犹河、泗之流湍滨～也。”王维《送沈子福之江东》诗：“杨柳渡头行客稀，罟师荡桨向临～。”
岐,,岐,,qí,山,7,左右,二级字,❶山名。在今陕西岐山县东北。《尚书·禹贡》：“导岍及～。”//❷同“歧”。岔路。《后汉书·邓彪传》：“迟迟于～路之间也。”//〖引〗分开，分岔。《淮南子·原道》：“故牛～蹄而戴角，马被髦而全足者，天也。”
弃,,弃,[棄],qì,廾,7,上下,一级字,❶抛弃，舍去。《孟子·梁惠王上》：“～甲曳兵而走。”//[弃市]//在闹市执行死刑，并将尸体暴露在街头。《史记·秦始皇本纪》：“有敢偶语《诗》《书》者～～。”//❷废弃，废除。朱敬则《请除滥刑疏》：“～无用之费，捐不急之官。”//❸忘记。王僧达《答颜延年》诗：“结游略年义，笃顾～浮沉。”//❹违背，背叛。《左传·宣公二年》：“～君之命，不信。”郦道元《水经注·清水》：“太祖曰：‘唯种不～孤。’”（种：人名。）//❺离开，离去。王粲《七哀诗》之一：“复～中国去，远身适荆蛮。”
杞,,杞,,qǐ,木,7,左右,二级字,❶树名。杞柳。《诗经·郑风·将仲子》：“无折我树～。”（不要折我种的杞。树：种。）//❷灌木名。枸杞。《诗经·小雅·杕杜》：“陟彼北山，言采其～。”（陟：登。彼：那。言：动词词头。）//❸周代诸侯国。在今河南杞县。《列子·天瑞》：“～国有人，忧天地崩坠，身亡所寄。”（亡：无。）成语有“杞人忧天”。
玘,,玘,,qǐ,王,7,左右,三级字,玉名。谢灵运《答中书》诗：“矧乃良朋，贻我琼～。”
亟,,亟㈡,,qì,一,8,上下,二级字,屡次。《左传·隐公元年》：“～请于武公。”
其,,其,,qí,八,8,上下,一级字,❶第三人称代词。表示领有。相当于“他的”、“她的”、“它的”、“他们的”。《论语·卫灵公》：“工欲善～事，必先利～器。”成语有“各得其所”、“自圆其说”。//〖又〗相当于“他”、“她”、“它”、“他们”（后起意义）。《三国志·魏书·华佗传》：“当须刳割者，便饮～麻沸散。”（刳：割。麻沸散：一种麻药。）成语有“任其自流”、“知其不可而为之”。//❷指示代词。相当于“这”、“这些”、“那”、“那些”。柳宗元《捕蛇者说》：“有蒋氏者，专～利三世矣。”《史记·项羽本纪》：“今欲举大事，将非～人不可。”成语有“不厌其烦”。//〖又〗其中的。《庄子·山木》：“～一能鸣，～一不能鸣。”//❸连词。表示假设。相当于“如果”、“假使”。《荀子·劝学》：“兰槐之根是为芷（zhǐ），～渐之滫（xiǔ），君子不近，庶人不服。”（芷：一种香草。渐：浸。滫：臭水。服：佩戴。）//〖又〗表示选择。相当于“或者”、“还是”。《庄子·徐无鬼》：“～欲干酒肉之味邪？～寡人亦有社稷之福邪？”//❹句中语气词。表示揣测、反问、期望或命令。《孟子·梁惠王上》：“始作俑者，～无后乎?”《左传·僖公十年》：“欲加之罪，～无辞乎？”《尚书·益稷》：“帝～念哉！”//〖又〗句末语气词。表示疑问。《诗经·小雅·庭燎》：“夜如何～？夜未央。”//❺形容词词头。《诗经·邶风·北风》：“北风～凉，雨雪～雱。”（雱：雪很大的样子。）
奇,,奇㈡,,qí,大,8,上下,一级字,❶奇异的，罕见的，不寻常的。《老子·五十七章》：“人多伎巧，～物滋起。”（滋起：产生出来。）《史记·商君列传》：“公孙鞅年虽少，有～才。”//❷出人意料的。《老子·五十七章》：“以正治国，以～用兵。”成语有“出奇制胜”。//❸很，非常。段成式《酉阳杂俎》卷十二“语资”：“今岁～寒。”
妻,,妻㈠,,qī,女,8,上下,一级字,妻子，男子的嫡配偶。《战国策·秦策一》：“～不以我为夫……父母不以我为子。”《史记·孙子吴起列传》：“吴起取齐女为～。”（取：娶。齐：齐国。）
妻,,妻㈡,,qì,女,8,上下,一级字,以女嫁人。《论语·先进》：“孔子以其兄之子～之。”（子：女儿。）《三国志·魏书·荀彧传》：“太祖以女～彧（yù）长子恽。”//〖又〗娶妻。《史记·鲁周公世家》：“宋女至而好，惠公夺而自～之。”
歧,,歧,,qí,止,8,左右,一级字,❶岔路。徐元太《喻林·人事门·乱真》引《吕氏春秋·疑似》：“故墨子见～道而哭之。”《列子·说符》：“～路之中又有～。”成语有“歧路亡羊”。//〖引〗非正当的途径。《旧唐书·韦澳传》：“必以吾他～得之。”//❷分岔，分开。《后汉书·张堪传》：“桑无附枝，麦穗两～。”王安石《寄虔州江阴二妹》诗：“又如～首蛇，南北两欲驰。”这个意义又写作“岐”。
泣,,泣,,qì,氵,8,左右,一级字,❶无声哭或小声哭。《战国策·赵策四》：“持其踵为之～。”（踵：脚跟。）成语有“泣不成声”、“向隅而泣”。//❷眼泪。《吕氏春秋·长见》：“吴起抿～而应之。”《史记·吕后本纪》：“太后哭，～不下。”//【辨析】//哭，号（號），泣，啼。见226页“哭”字。
祇,,祇㈠,,qí,礻,8,左右,二级字,地神。《论语·述而》：“祷尔于上下神～。”（替你向天神地祇祈祷。）//❷<又义>的意义上古又写作“秖”、“衹”、“祗”，宋代以后多作“只”。//【辨析】//祇，祗，衹，秖，秪，只。见532页“衹”字。
祈,,祈,,qí,礻,8,左右,一级字,（向老天或鬼神）祷告恳求。《诗经·小雅·甫田》：“以御田祖，以～甘雨。”韩愈《潮州祭神文》：“～于太湖神之灵。”//〖引〗求，希望。《南史·刘峻传》：“闻有异书，必往～借。”（异：特殊的。）叶适《中奉大夫曾公墓志铭》：“遂以亲嫌乞免，且以病力～去。”
契,,契㈠,,qì,大,9,上下,一级字,❶用刀刻。古时占卜用刀凿刻龟甲，后泛指用刀刻（物体）。《吕氏春秋·察今》：“遽～其舟。”（遽：立即。）这个意义又写作“栔”、“锲”。//〖又〗刻在甲骨上的文字。《周易·系辞下》：“上古结绳而治，后世圣人易之以书～。”//〖又〗凿刻工具。干宝《晋纪总论》：“如室斯构而去其凿～。”//❷券，符契，契约。古代符契，刻字之后，剖为两半，双方收存以做凭证。《韩非子·主道》：“符～之所合，赏罚之所生也。”（符：古代国君传达命令或调兵将用的凭证。生：产生。）//〖引〗盟约，要约。李公佐《南柯太守传》：“时年四十七，将符宿～之限矣。”//❸相合，投合。曹植《玄畅赋》：“上同～于稷禼，降合颖于伊望。”司空图《诗品二十四则》：“少有道～，终与俗违。”双音词有“契合”。//❹[契丹]//我国古代东北部的一个民族。公元907—1125年曾建立辽国。
疧,,疧,,qí,疒,9,半包围,,病，忧病。《诗经·小雅·白华》：“之子之远，俾我～兮。”
䫏,,䫏,[魌、倛],qī,,,,,状貌丑恶的面具。《慎子·威德》：“毛嫱、西施，天下之至姣也，衣之以皮～，则见者走。”//[䫏头]//状貌丑恶的面具。《周礼·夏官·方相氏》郑玄注：“冒熊皮者，以惊驱疫疠之鬼，如今～～也。”
僛,,僛,,qī,,,,,❶[僛僛]//醉舞的样子。《诗经·小雅·宾之初筵》：“乱我笾豆，屡舞～～。”//摇摆的样子。王安石《春雨》诗：“城云如梦柳～～。”//❷通“䫏”。相貌丑陋。庾信《竹杖赋》：“宿昔～丑，俄然耆耋。”
娸,,娸,,qī,,,,,诋毁，丑化。《汉书·枚乘传》：“故其赋有诋～东方朔，又自诋～。”
悽,,悽,,qī,,,,,悲痛，悲伤。《礼记·祭义》：“霜露既降，君子履之，必有～怆之心。”刘勰《文心雕龙·诔碑》：“道其哀也，～焉如可伤。”这个意义后来写作“凄”。
懠,,懠,,qí,,,,,愤怒。《诗经·大雅·板》：“天之方～，无为夸毗。”
扢,,扢㈡,,qì,,,,,奋舞的样子。《庄子·让王》：“子路～然执干而舞。”
湇,,湇,[湆],qì,,,,,肉汁。《礼记·少仪》：“凡羞有～者不以齐。”（齐：指加盐梅调和。）
璂,,璂,,qí,,,,,古代皮冠上的玉饰。《周礼·夏官·弁师》：“王之皮弁会五采玉～。”
甈,,甈㈠,,qì,,,,,瓦器。柳宗元《井铭》：“始州之人，各以罂～负江水，莫克井饮。”
碕,,碕㈠,,qí,,,,,❶同“埼”。弯曲的岸边。《楚辞·九叹·离世》：“遵江曲之逶移兮，触石～而衡游。”//❷山漫长而起伏的样子。郭璞《江赋》：“～岭为之岩崿。”
碕,,碕㈡,,qǐ,,,,,[碕礒（yǐ）]//山石错落不平的样子。《楚辞·招隐士》：“嵚岑～～兮，碅磳磈硊。”
蚑,,蚑,,qí,,,,,❶虫名。枚乘《七发》：“～、蟜、蝼、蚁闻之，拄喙而不能前。”//〖泛〗虫类。李时珍《本草纲目·主治下·诸虫》：“杀虫术……蓝叶，杀虫～。”//❷[蚑行]//虫类爬行或动物行走。《淮南子·修务》：“～～蛲动之虫，喜而合，怒而斗。”《淮南子·天文》：“～～喙息，莫贵于人。”
諆,,諆㈡,,qī,,,,,欺骗。
鐖,,鐖㈡,,qí,,,,,大镰刀。《史记·淮南衡山列传》：“非直适戍之众，～凿棘矜也。”
陭,,陭㈠,,qī,,,,,[陭䧢]//不平。《史记·司马相如列传》：“民人登降移徙，～～而不安。”
𢼨,,𢼨,,qī,,,,,[𢼨䧢]//不平。庾信《小园赋》：“～～兮狭室，穿漏兮茅茨。”//经历坎坷。《宋书·庐江王祎传》：“徼幸～～，仅得自免。”
楬,,楬㈡,,qià,木,13,左右,,古代用以终止乐声的一种乐器。即“敔（yǔ）”。《礼记·乐记》：“然后圣人作为鞉、鼓、椌、～、壎、篪。”
髂,,髂㈡,,qià,骨,18,左右,二级字,腰骨。《素问·长刺节论》：“刺两～髎（liáo）季胁肋间。”（髎：骨间的穴位。）//〖引〗腰部。韩愈《县斋有怀》诗：“朝食不盈肠，冬衣才掩～。”
洽,,洽,,qià,氵,9,左右,一级字,❶沾湿，湿润。《论衡·自然》：“霈（pèi）然而雨，物之茎叶根垓（gāi），莫不～濡。”（霈然：形容雨很大的样子。垓：通“荄”。草根。濡：湿。）//❷和谐，融洽。《诗经·大雅·江汉》：“矢其文德，～此四国。”《汉书·贾谊传》：“谊以为汉兴二十余年，天下和～。”//❸广博，普遍。《汉书·司马迁传》：“博物～闻。”（博：见识很广。）//❹通达。《管子·国蓄》：“故民爱可～于上也。”
帢,,帢,,qià,,,,,古代的一种便帽。《三国志·魏书·武帝纪》注引《傅子》：“魏太祖以天下凶荒，资财乏匮，拟古皮弁，裁缣帛以为～，合于简易随时之义，以色别其贵贱。”
倩,,倩㈠,,qiàn,亻,10,左右,二级字,❶笑时面颊美的样子。《诗经·卫风·硕人》：“巧笑～兮，美目盼兮。”//❷古代男子的美称。《汉书·朱邑传》：“昔陈平虽贤，须魏～而后进。”（魏倩：指魏无知。）//❸（姿容）美好。梅尧臣《五倩篇》：“～然五蛾眉，妙曲动金弦。”吴融《还俗尼》诗：“柳眉梅额～妆新。”
悭,,悭,[慳],qiān,忄,10,左右,二级字,❶吝啬。《宋书·王玄谟传》：“刘秀之俭吝，呼为‘老～’。”//❷缺少，欠缺。王贞白《度关山》诗：“石响铃声远，天寒弓力～。”
虔,,虔,,qián,虍,10,半包围,二级字,❶威武的样子。《诗经·商颂·长发》：“武王载旆，有～秉钺。”//❷恭敬，虔诚。《诗经·大雅·韩奕》：“夙夜匪解，～共尔位。”//❸削裁，砍伐。《诗经·商颂·殷武》：“是断是迁，方斵是～。”//❹杀。《左传·成公十三年》：“～刘我边陲。”（杀害我边疆的人民。刘：杀。陲：边疆。）
钱,,钱㈡,[錢],qián,钅,10,左右,一级字,❶金属钱币。《商君书·外内》：“食贱则农贫，～重则商富。”（食：粮食。重：贵。）//〖又〗钱财。杜甫《最能行》：“富豪有～驾大舸，贫穷取给行艓子。”//❷重量单位。十钱为一两。《后汉书·华佗传》：“与散两～服之。”（与：给。散：药末。）
乾,,乾㈡,,qián,𠦝,11,左右,一级字,❶八卦之一。代表天。《周易·说》：“～，天也。”//[乾坤]//乾和坤都是卦名。二字连用指天地。班固《东都赋》：“俯仰乎～～，参象乎圣躬。”杜甫《江汉》诗：“江汉思归客，～～一腐儒。”（江汉：长江和汉水。）//❷指太阳、阳性的、男性的、君王、父亲、丈夫等。《元史·后妃传一》：“月之道循右行，明同贞于～曜。”《周易·系辞上》：“～道成男。”《周易·说》：“～为天、为圆、为君。”张载《西铭》：“～称父。”
堑,,堑,[塹、壍],qiàn,土,11,上下,二级字,护城河，壕沟。《墨子·备城门》：“～中深丈五，广比扇。”《史记·高祖本纪》：“使高垒深～，勿与战。”（垒：防守用的建筑物。）//〖又〗挖沟，挖掘。《左传·昭公十七年》：“环而～之。”韩愈《乌氏庙碑铭》：“～原累石，绵四百里。”
綪,,綪,[綪],qiàn,纟,11,左右,三级字,赤色。《左传·定公四年》：“分康叔以大路，少帛，～茷，旃旌。”
嵌,,嵌㈠,,qiān,山,12,上下,一级字,❶山石像张开的样子。扬雄《甘泉赋》：“～岩岩其龙鳞。”//❷深陷。岑参《江上阻风雨》诗：“积浪成高丘，盘涡为～窟。”//〖引〗深洞。韦庄《李氏小池亭十二韵》：“引泉疏地脉，扫絮积山～。”
嵌,,嵌㈡,,qiàn,山,12,上下,一级字,镶嵌（后起意义）。赵希鹄《古钟鼎彝器辨》：“余尝见夏琱戈，于铜上相～以金，其细如发。”
椠,,椠,[槧],qiàn,木,12,上下,二级字,❶古代写字用的木片。《论衡·量知》：“断木为～，㭊之为板，力加刮削，乃成奏牍。”//❷简札，书信。王令《赠别晏成绩懋父太祝》诗：“幸因西南风，时作寄我～。”//❸书籍，刻本（后起意义）。无可《李常侍书堂》诗：“涂油窗日早，阅～幌风轻。”王士禛《居易录》卷十四：“雕行古书，颇仿宋～，坊刻皆所不逮。”//[椠本]//书籍的刻本。黄伯思《东观餘论·跋洛阳所得杜少陵诗后》：“所录杜子美诗，颇与今行～～小异。”
犍,,犍㈡,,qián,牛(牜),12,左右,二级字,[犍为]//县名，在今四川。《史记·大宛列传》：“乃令骞因蜀～～发间使，四道并出。”
谦,,谦,[謙],qiān,讠,12,左右,一级字,谦让，谦逊。《尚书·大禹谟》：“满招损，～受益。”成语有“谦恭下士”。
嗛,,嗛㈠,,qiān,口,13,左右,,通“谦”。谦逊。《荀子·仲尼》：“主尊贵之，则恭敬而僔；主信爱之，则谨慎而～。”
嗛,,嗛㈡,,qiǎn,口,13,左右,,猴鼠之类颊中藏食处。柳宗元《憎王孙文》：“充～果腹兮，骄傲欢欣。”
嗛,,嗛㈢,,qiàn,口,13,左右,,通“歉”。不足。《汉书·郊祀志》：“今谷～未报。”//[嗛嗛]//少。《国语·晋语一》：“～～之德，不足就也……～～之食，不足狃也。”//不足。《潜夫论·交际》：“（鸾凤）呼吸阳露，旷旬不食，其意尚犹～～如也。”
愆,,愆,[諐],qiān,心,13,上下,二级字,❶罪过，过错。《尚书·伊训》：“惟兹三风十～，卿士有一于身，家必丧。”（三风：三种不好的风俗。）《三国志·蜀书·诸葛亮传》：“街亭之役，咎（jiù）由马谡，而君引～。”（咎：过失。引愆：引以为自己的过错。）//〖又〗错误的。《国语·吴语》：“今越王勾践恐惧而改其谋，舍其～令。”（舍其愆令：废除错误的法令。）//❷差错，违背。《左传·文公元年》：“履端于始，序则不～。”颜延之《陶徵士诔》：“有合谥典，无～前志。”//❸失去，丧失。王安石《代人上明州到任表》：“餘年且索，旅力已～。”//❹延误，超过。《诗经·卫风·氓》：“匪我～期，子无良媒。”《太平广记》卷一九二引胡璩《谭宾录·马勋》：“来复命，～约半日。”//❺恶疾。陶弘景《真诰·甄命授三》：“复使～痾填籍，忧哀塞抱。”
慊,,慊㈠,,qiǎn,忄,13,左右,二级字,嫌恨，不满足。《孟子·公孙丑下》：“彼以其爵，我以吾义，吾何～乎哉？”
蒨,,蒨,,qiàn,艹,13,上下,三级字,❶同“茜”。草名。可染绛红色。刘勰《文心雕龙·通变》：“夫青生于蓝，绛生于～。”//〖引〗大红色。杜牧《村行》：“蓑唱牧牛儿，篱窥～裙女。”//❷鲜明，鲜艳。谢灵运《山居赋》：“水香送秋而擢～，林兰近雪而扬猗。”//❸树名。《山海经·中山经》：“北望河林，其状如～如举。”//❹青翠茂盛的样子。左思《吴都赋》：“夏晔冬～。”//[蒨蒨]//青翠茂盛的样子。韩愈《庭楸》诗：“夜月来照之，～～自生烟。”//鲜明的样子。束晳《补亡诗》之二：“～～士子，湼而不渝。”
遣,,遣,,qiǎn,辶,13,半包围,一级字,❶送走，释放。《左传·僖公二十三年》：“姜与子犯谋，醉而～之。”《汉书·张骞传》：“大宛以为然，～骞（qiān）。”（大宛：国名。）//〖又〗派遣，差遣。《墨子·非儒下》：“乃～子贡之齐，因南郭惠子以见田常。”《三国志·蜀书·诸葛亮传》：“～兵三万人以助备。”（备：刘备。）//❷贬谪，放逐。《左传·哀公二十五年》：“挥在朝，使吏～诸其室。”韩愈《柳子厚墓志铭》：“中山刘梦得禹锡亦在～中。”（中山：地名。）//❸休妻，丈夫将妻子休弃。《颜氏家训·后娶》：“王亦凄怆，不知所容，旬月求退，便以礼～。”//❹排除，抒发（后起意义）。任昉《出郡传舍哭范仆射》诗：“欲以～离情。”元稹《〈白氏长庆集〉序》：“闲适之诗长于～。”//❺运用，使用（后起意义）。苏洵《上欧阳内翰书五首》之一：“陆贽之文，～言措意，切近的当。”《新唐书·徐浩传》：“～辞赡速，而书法至精。”//❻令，使（后起意义）。李白《劳劳亭》诗：“春风知别苦，不～柳条青。”
骞,,骞,[騫],qiān,宀,13,上中下,二级字,❶腹部低陷。《周礼·考工记·梓人》：“……小体、～腹，若是者谓之羽属。”//❷亏，损。《诗经·小雅·天保》：“如南山之寿，不～不崩。”//❸惊惧。颜延之《车驾幸京口三月三日侍游曲阿后湖作》诗：“人灵～都野，鳞翰耸渊丘。”//❹举头的样子。《楚辞·大招》：“鰅鳙短狐，王虺～只。”（王虺：大蛇。只：句末语气词。）//❺高。杜牧《池州送孟迟先辈》诗：“寺楼最～轩，坐送飞鸟没。”//❻通“鶱”。飞。张衡《西京赋》：“凤～翥于甍标，咸溯风而欲翔。”//❼通“搴”。拔取。《汉书·杨仆传》：“将军之功，独有先破石门寻陿，非有斩将～旗之实也。”//❽通“褰”。提起（衣裳）。《汉书·王莽传上》：“方今天下闻崇之反也，咸欲～衣手剑而叱之。”//❾通“愆”。过错。《荀子·正名》：“长夜漫兮，永思～兮。”
搴,,搴,,qiān,宀,14,上中下,二级字,❶拔取，取。屈原《九歌·湘君》：“采薜荔兮水中，～芙蓉兮木末。”司马迁《报任安书》：“有斩将～旗之功。”//❷通“褰”。提起、撩起（衣裳等）。卢照邻《释疾文》：“于是裹粮寻师，～裳访古。”蒲松龄《聊斋志异·阿宝》：“以掺（shān）手～帘。”（掺手：美手。）
歉,,歉,,qiàn,欠,14,左右,一级字,❶吃不饱，缺食。李商隐《行次西郊作》诗：“健儿立霜雪，腹～衣裳单。”//〖引〗缺少，不足。《宋书·明帝纪》：“且久岁不登，公私～弊。”//〖又〗欠缺。《论衡·答佞》：“聪明蔽塞，推行谬误，人之所～也。”//❷年岁歉收，收成不好。与“丰”相对。《管子·枢言》：“一日不食，比岁～。”《宋史·黄廉传》：“是使民遇丰年而思～岁也。”（岁：年。）双音词有“歉年”。//❸惭愧，内疚（后起意义）。王安石《酬吴季野见寄》诗：“俯仰谬恩方自～，惭君将比洛阳人。”双音词有“抱歉”、“道歉”。
